Temperature,Time-Heat,Time-Fan
0,34.41483516,0
0.25,34.41483516,0
0.5,34.41483516,0
0.75,34.41483516,0
1,34.41483516,0
1.25,34.41483516,0
1.5,34.41483516,0
1.75,34.41483516,0
2,34.41483516,0
2.25,34.41483516,0
2.5,34.41483516,0
2.75,34.41483516,0
3,34.41483516,0
3.25,34.41483516,0
3.5,34.41483516,0
3.75,34.41483516,0
4,34.41483516,0
4.25,34.41483516,0
4.5,34.41483516,0
4.75,34.41483516,0
5,34.41483516,0
5.25,33.97877255,0
5.5,33.32323789,0
5.75,32.89684466,0
6,32.25442478,0
6.25,31.8351819,0
6.5,31.20211581,0
6.75,30.78755029,0
7,30.16011236,0
7.25,29.74774266,0
7.5,29.12215909,0
7.75,28.70943784,0
8,28.08179724,0
8.25,27.66604824,0
8.5,27.03220141,0
8.75,26.61054743,0
9,25.96599045,0
9.25,25.53526721,0
9.5,24.875,0
9.75,24.43165025,0
10,23.75,0
10.25,23.75,0
10.5,23.75,0
10.75,23.75,0
11,23.75,0
11.25,23.75,0
11.5,23.75,0
11.75,23.75,0
12,23.75,0
12.25,23.75,0
12.5,23.75,0
12.75,23.75,0
13,23.75,0
13.25,23.75,0
13.5,23.75,0
13.75,23.75,0
14,23.75,0
14.25,23.75,0
14.5,23.75,0
14.75,23.75,0
15,23.75,0
15.25,23.30896928,0
15.5,22.66198044,0
15.75,22.24684313,0
16,21.63461538,0
16.25,21.23803828,0
16.5,20.65023753,0
16.75,20.26586926,0
17,19.69339623,0
17.25,19.31550424,0
17.5,18.75,0
17.75,18.37317475,0
18,17.80660377,0
18.25,17.42549669,0
18.5,16.84976247,0
18.75,16.45883055,0
19,15.86538462,0
19.25,15.45861568,0
19.5,14.83801956,0
19.75,14.40860878,0
20,13.75,0
20.25,13.44,0
20.5,12.975,0
20.75,12.65790791,0
21,12.18107769,0
21.25,11.85472125,0
21.5,11.3627204,0
21.75,11.02475998,0
22,10.51395939,0
22.25,10.16182467,0
22.5,9.628205128,0
22.75,9.259020619,0
23,8.698051948,0
23.25,8.308546785,0
23.5,7.715039578,0
23.75,7.301435407,0
24,6.669354839,0
24.25,6.227223427,0
24.5,5.549450549,0
24.75,5.073529412,0
25,4.341549296,0
25.25,4.341549296,0
25.5,4.341549296,0
25.75,4.341549296,0
26,4.341549296,0
26.25,4.341549296,0
26.5,4.341549296,0
26.75,4.341549296,0
27,4.341549296,0
27.25,4.341549296,0
27.5,4.341549296,0
27.75,4.341549296,0
28,4.341549296,0
28.25,4.341549296,0
28.5,4.341549296,0
28.75,4.341549296,0
29,4.341549296,0
29.25,4.341549296,0
29.5,4.341549296,0
29.75,4.341549296,0
30,4.341549296,0
30.25,4.36295972,0
30.5,4.398148148,0
30.75,4.41966581,0
31,4.455479452,0
31.25,4.477044476,0
31.5,4.513513514,0
31.75,4.535044825,0
32,4.572222222,0
32.25,4.593601896,0
32.5,4.631578947,0
32.75,4.65261959,0
33,4.691558442,0
33.25,4.711925287,0
33.5,4.752136752,0
33.75,4.771119843,0
34,4.813291139,0
34.25,4.828864353,0
34.5,4.875,0
34.75,4.875,0
35,0,0
35.25,0,0
35.5,0,0
35.75,0,0
36,0,0
36.25,0,0
36.5,0,0
36.75,0,0
37,0,0
37.25,0,0
37.5,0,0
37.75,0,0
38,0,0
38.25,0,0
38.5,0,0
38.75,0,0
39,0,0
39.25,0,0
39.5,0,0
39.75,0,0
40,0,0
,,
,,
0,23.75,0
0.25,23.75,0
0.5,23.75,0
0.75,23.75,0
1,23.75,0
1.25,23.75,0
1.5,23.75,0
1.75,23.75,0
2,23.75,0
2.25,23.75,0
2.5,23.75,0
2.75,23.75,0
3,23.75,0
3.25,23.75,0
3.5,23.75,0
3.75,23.75,0
4,23.75,0
4.25,23.75,0
4.5,23.75,0
4.75,23.75,0
5,23.75,0
5.25,23.30896928,0
5.5,22.66198044,0
5.75,22.24684313,0
6,21.63461538,0
6.25,21.23803828,0
6.5,20.65023753,0
6.75,20.26586926,0
7,19.69339623,0
7.25,19.31550424,0
7.5,18.75,0
7.75,18.37317475,0
8,17.80660377,0
8.25,17.42549669,0
8.5,16.84976247,0
8.75,16.45883055,0
9,15.86538462,0
9.25,15.45861568,0
9.5,14.83801956,0
9.75,14.40860878,0
10,13.75,0
10.25,13.75,0
10.5,13.75,0
10.75,13.75,0
11,13.75,0
11.25,13.75,0
11.5,13.75,0
11.75,13.75,0
12,13.75,0
12.25,13.75,0
12.5,13.75,0
12.75,13.75,0
13,13.75,0
13.25,13.75,0
13.5,13.75,0
13.75,13.75,0
14,13.75,0
14.25,13.75,0
14.5,13.75,0
14.75,13.75,0
15,13.75,0
15.25,13.44,0
15.5,12.975,0
15.75,12.65790791,0
16,12.18107769,0
16.25,11.85472125,0
16.5,11.3627204,0
16.75,11.02475998,0
17,10.51395939,0
